Date,Confirmed,Deaths,Recovered,Active,New_Cases,MA7
2020-01-22,0,0,0,0,,0.0
2020-01-23,0,0,0,0,0.0,0.0
2020-01-24,0,0,0,0,0.0,0.0
2020-01-25,0,0,0,0,0.0,0.0
2020-01-26,0,0,0,0,0.0,0.0
2020-01-27,0,0,0,0,0.0,0.14285714285714285
2020-01-28,0,0,0,0,0.0,0.14285714285714285
2020-01-29,0,0,0,0,0.0,0.14285714285714285
2020-01-30,1,0,0,1,1.0,0.2857142857142857
2020-01-31,1,0,0,1,0.0,0.42857142857142855
2020-02-01,1,0,0,1,0.0,0.42857142857142855
2020-02-02,2,0,0,2,1.0,0.42857142857142855
2020-02-03,3,0,0,3,1.0,0.2857142857142857
2020-02-04,3,0,0,3,0.0,0.2857142857142857
2020-02-05,3,0,0,3,0.0,0.2857142857142857
2020-02-06,3,0,0,3,0.0,0.14285714285714285
2020-02-07,3,0,0,3,0.0,0.0
2020-02-08,3,0,0,3,0.0,0.0
2020-02-09,3,0,0,3,0.0,0.0
2020-02-10,3,0,0,3,0.0,0.0
2020-02-11,3,0,0,3,0.0,0.0
2020-02-12,3,0,0,3,0.0,0.0
2020-02-13,3,0,0,3,0.0,0.0
2020-02-14,3,0,0,3,0.0,0.0
2020-02-15,3,0,0,3,0.0,0.0
2020-02-16,3,0,3,0,0.0,0.0
2020-02-17,3,0,3,0,0.0,0.0
2020-02-18,3,0,3,0,0.0,0.0
2020-02-19,3,0,3,0,0.0,0.0
2020-02-20,3,0,3,0,0.0,0.0
2020-02-21,3,0,3,0,0.0,0.0
2020-02-22,3,0,3,0,0.0,0.0
2020-02-23,3,0,3,0,0.0,0.0
2020-02-24,3,0,3,0,0.0,0.0
2020-02-25,3,0,3,0,0.0,0.0
2020-02-26,3,0,3,0,0.0,0.0
2020-02-27,3,0,3,0,0.0,0.0
2020-02-28,3,0,3,0,0.0,0.2857142857142857
2020-02-29,3,0,3,0,0.0,0.2857142857142857
2020-03-01,3,0,3,0,0.0,3.571428571428571
2020-03-02,5,0,3,2,2.0,3.8571428571428568
2020-03-03,5,0,3,2,0.0,3.9999999999999996
2020-03-04,28,0,3,25,23.0,4.428571428571428
2020-03-05,30,0,3,27,2.0,5.142857142857142
2020-03-06,31,0,3,28,1.0,5.428571428571428
2020-03-07,34,0,3,31,3.0,7.285714285714285
2020-03-08,39,0,3,36,5.0,4.857142857142856
2020-03-09,43,0,3,40,4.0,6.142857142857142
2020-03-10,56,0,4,52,13.0,7.285714285714285
2020-03-11,62,1,4,57,6.0,9.714285714285714
2020-03-12,73,1,4,68,11.0,10.571428571428571
2020-03-13,82,2,4,76,9.0,10.857142857142856
2020-03-14,102,2,4,96,20.0,12.285714285714285
2020-03-15,113,2,13,98,11.0,13.428571428571427
2020-03-16,119,2,13,104,6.0,17.285714285714285
2020-03-17,142,3,14,125,23.0,23.14285714285714
2020-03-18,156,3,14,139,14.0,32.57142857142857
2020-03-19,194,4,15,175,38.0,40.42857142857142
2020-03-20,244,5,20,219,50.0,54.285714285714285
2020-03-21,330,4,23,303,86.0,56.285714285714285
2020-03-22,396,7,27,362,66.0,71.57142857142857
2020-03-23,499,10,27,462,103.0,76.14285714285714
2020-03-24,536,10,40,486,37.0,91.85714285714286
2020-03-25,657,12,43,602,121.0,93.85714285714283
2020-03-26,727,20,45,662,70.0,89.71428571428571
2020-03-27,887,20,73,794,160.0,107.42857142857142
2020-03-28,987,24,84,879,100.0,123.0
2020-03-29,1024,27,95,902,37.0,191.57142857142856
2020-03-30,1251,32,102,1117,227.0,259.4285714285714
2020-03-31,1397,35,123,1239,146.0,239.99999999999997
2020-04-01,1998,58,148,1792,601.0,299.2857142857143
2020-04-02,2543,72,191,2280,545.0,366.2857142857142
2020-04-03,2567,72,192,2303,24.0,503.85714285714283
2020-04-04,3082,86,229,2767,515.0,559.1428571428571
2020-04-05,3588,99,229,3260,506.0,559.7142857142857
2020-04-06,4778,136,375,4267,1190.0,597.4285714285714
2020-04-07,5311,150,421,4740,533.0,718.7142857142857
2020-04-08,5916,178,506,5232,605.0,766.2857142857142
